window,start_ts,span_us,work_cov_us,wait_cov_us,idle_us,biggest_gap_us,gap_at_off_us,gap_before,gap_after,last_dataready_off_us,fill_end_off_us,listener_start_off_us,wcls_last_dr_off_us,dispatch_first_dr_off_us
116,137718041919337,1146.0,268.3,785.7,92.1,49.0,887.7,notify_listener@25/0-worker,work_queue::do_work get_work@24/?-work_queue,1144.1,887.7,139.7,146.3,1130.4
117,137718047099389,480.5,116.2,337.7,26.6,11.2,442.0,assemble attention plan@24/?-work_queue,Prepare hardware matmul job@24/?-work_queue,477.7,386.6,84.3,89.4,462.4
118,137718051635795,719.0,439.0,248.3,31.8,12.8,682.0,assemble attention plan@24/?-work_queue,Prepare hardware matmul job@24/?-work_queue,717.3,627.8,409.6,417.1,704.3
119,137718056349725,486.5,118.9,338.4,29.2,12.9,450.2,assemble attention plan@24/?-work_queue,Prepare hardware matmul job@24/?-work_queue,485.0,394.5,83.2,91.1,472.0
120,137718060847251,608.4,227.9,344.4,36.0,12.9,563.8,assemble attention plan@24/?-work_queue,Prepare hardware matmul job@24/?-work_queue,606.2,503.7,197.5,204.1,586.3
121,137718065433419,869.3,490.4,300.8,78.1,51.9,456.1,kernel_add_rmsnorm_71@25/0-worker,prepare streams@25/0-worker,867.6,768.9,509.3,518.9,845.4
122,137718070357175,1695.4,682.4,712.9,300.1,123.0,1547.9,assemble attention plan@24/?-work_queue,Prepare hardware matmul job@24/?-work_queue,1693.7,1182.9,496.4,501.1,1680.3
123,137718076080394,1133.3,474.3,563.5,95.5,61.0,431.5,kernel_add_rmsnorm_71@25/0-worker,prepare streams@25/0-worker,1131.5,1028.0,493.8,496.8,1117.1
124,137718081195443,1032.2,494.4,462.6,75.2,44.2,509.5,rx collecting results@148/0-RX-13,prepare streams@25/0-worker,1030.3,929.3,555.7,563.6,1017.4
125,137718086219623,1775.5,797.6,724.6,253.4,93.8,1656.1,assemble attention plan@24/?-work_queue,Prepare hardware matmul job@24/?-work_queue,1773.7,1310.0,611.9,728.0,1759.3
126,137718092088291,1085.0,475.8,525.1,84.1,55.9,449.0,kernel_add_rmsnorm_71@25/0-worker,prepare streams@25/0-worker,1082.2,989.4,506.0,514.5,1068.7
127,137718097157256,1216.8,779.0,341.4,96.5,62.3,753.9,kernel_add_rmsnorm_71@25/0-worker,prepare streams@25/0-worker,1214.7,1124.6,818.3,823.6,1201.0
128,137718102481460,1710.1,715.1,755.9,239.2,87.3,1597.5,assemble attention plan@24/?-work_queue,Prepare hardware matmul job@24/?-work_queue,1707.4,1261.3,532.3,538.7,1694.5
129,137718108197926,553.3,167.1,357.0,29.2,13.4,514.4,assemble attention plan@24/?-work_queue,Prepare hardware matmul job@24/?-work_queue,550.7,460.4,135.2,138.6,537.3
130,137718112759039,527.2,150.3,340.3,36.6,12.5,484.1,assemble attention plan@24/?-work_queue,Prepare hardware matmul job@24/?-work_queue,525.0,424.6,121.0,125.7,506.0
131,137718117228191,1654.9,667.3,761.2,226.3,79.8,1538.6,assemble attention plan@24/?-work_queue,Prepare hardware matmul job@24/?-work_queue,1652.3,1230.1,509.3,513.1,1627.5
132,137718122935626,1144.1,302.4,719.1,122.6,79.7,813.7,notify_listener@25/0-worker,work_queue::do_work get_work@24/?-work_queue,1141.6,813.7,129.0,132.2,1127.3
133,137718128104954,1095.8,507.4,493.3,95.1,64.4,445.8,kernel_add_rmsnorm_71@25/0-worker,prepare streams@25/0-worker,1094.4,986.4,511.9,520.1,1080.2
134,137718133285627,973.1,490.6,381.7,100.8,59.7,508.4,kernel_add_rmsnorm_71@25/0-worker,prepare streams@25/0-worker,970.7,866.6,569.7,582.1,956.8
135,137718138258494,1026.4,516.6,427.8,82.0,55.8,488.1,kernel_add_rmsnorm_71@25/0-worker,prepare streams@25/0-worker,1024.6,933.9,546.3,556.2,1010.5
136,137718143364899,954.3,497.9,373.9,82.5,52.1,454.3,kernel_add_rmsnorm_71@25/0-worker,prepare streams@25/0-worker,952.1,860.9,507.8,526.2,938.3
137,137718148333842,501.1,125.7,350.2,25.3,11.5,465.0,assemble attention plan@24/?-work_queue,Prepare hardware matmul job@24/?-work_queue,498.7,410.1,99.5,103.2,485.8
138,137718152854114,666.1,269.3,365.2,31.6,14.7,587.1,assemble attention plan@24/?-work_queue,Prepare hardware matmul job@24/?-work_queue,624.4,532.5,230.5,235.1,611.3
139,137718157503701,1570.0,629.8,742.4,197.8,82.6,1215.0,notify_listener@25/0-worker,work_queue::do_work get_work@24/?-work_queue,1568.1,1215.0,503.2,508.3,1545.8
140,137718163148289,1060.4,484.0,498.3,78.2,51.0,430.8,kernel_add_rmsnorm_71@25/0-worker,prepare streams@25/0-worker,1058.0,956.4,483.3,496.3,1035.1
141,137718168227094,997.6,495.4,412.8,89.4,61.1,446.8,kernel_add_rmsnorm_71@25/0-worker,prepare streams@25/0-worker,995.5,892.4,509.7,513.0,981.3
142,137718173263002,1713.8,770.5,711.6,231.8,75.2,1612.7,assemble attention plan@24/?-work_queue,Prepare hardware matmul job@24/?-work_queue,1711.6,1198.7,513.1,520.1,1697.0
143,137718179073928,1110.5,471.6,553.0,86.0,55.3,432.6,kernel_add_rmsnorm_71@25/0-worker,prepare streams@25/0-worker,1108.5,1004.9,489.1,494.0,1093.9
144,137718184191858,1694.5,784.4,675.7,234.4,85.0,1584.7,assemble attention plan@24/?-work_queue,Prepare hardware matmul job@24/?-work_queue,1692.3,1273.4,561.3,651.2,1679.3
